seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
99,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
100,0.0,0.0,0.0,0.5712918300653596,0.5743035947712419,-0.0030117647058823804,60.0,60.0,0.0,0.8697,0.8697,0.0,0.3039700000000002,0.3039700000000002,0.0
101,0.0,0.0,0.0,0.5807839869281046,0.5823202614379085,-0.00153627450980387,60.0,60.0,0.0,0.5479,0.5479,0.0,0.062029999999999974,0.062029999999999974,0.0
102,0.0,0.0,0.0,0.5731604575163399,0.5759575163398694,-0.0027970588235294302,60.0,60.0,0.0,0.5656,0.5656,0.0,0.0923666666666666,0.0923666666666666,0.0
103,0.0,0.0,0.0,0.5723330065359478,0.5740153594771243,-0.0016823529411765792,59.0,59.0,0.0,0.5363,0.5363,0.0,0.061316666666666686,0.061316666666666686,0.0
104,0.0,0.0,0.0,0.5728790849673203,0.5756761437908496,-0.0027970588235293192,60.0,60.0,0.0,0.5691,0.5691,0.0,0.09586666666666666,0.09586666666666666,0.0
105,0.0,0.0,0.0,0.5800647058823529,0.5816009803921569,-0.001536274509803981,59.0,59.0,0.0,0.8646,0.8646,0.0,0.31023333333333347,0.31023333333333347,0.0
106,0.0,0.0,0.0,0.5767947712418303,0.5781754901960786,-0.0013807189542482945,60.0,60.0,0.0,0.8941,0.8941,0.0,0.32837000000000016,0.32837000000000016,0.0
107,0.0,0.0,0.0,0.573957843137255,0.5767549019607844,-0.0027970588235294302,60.0,60.0,0.0,0.56,0.56,0.0,0.08676666666666666,0.08676666666666666,0.0
108,0.0,0.0,0.0,0.5764555555555556,0.5779918300653595,-0.00153627450980387,59.0,59.0,0.0,0.571,0.571,0.0,0.08406333333333332,0.08406333333333332,0.0
109,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.8985,0.8985,0.0,0.3327700000000001,0.3327700000000001,0.0
110,0.0,0.0,0.0,0.5770745098039216,0.5786107843137256,-0.001536274509803981,59.0,59.0,0.0,0.5475,0.5475,0.0,0.07428000000000001,0.07428000000000001,0.0
111,0.0,0.0,0.0,0.5737107843137255,0.576507843137255,-0.0027970588235295413,60.0,60.0,0.0,0.5626,0.5626,0.0,0.0893666666666666,0.0893666666666666,0.0
112,0.0,0.0,0.0,0.5728790849673203,0.5756761437908496,-0.0027970588235293192,60.0,60.0,0.0,0.5691,0.5691,0.0,0.09586666666666666,0.09586666666666666,0.0
113,0.0,0.0,0.0,0.5728790849673203,0.5756761437908496,-0.0027970588235293192,60.0,60.0,0.0,0.5691,0.5691,0.0,0.09586666666666666,0.09586666666666666,0.0
114,0.0,0.0,0.0,0.5693705882352942,0.5723823529411766,-0.0030117647058823804,60.0,60.0,0.0,0.887,0.887,0.0,0.32560333333333336,0.32560333333333336,0.0
115,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.8997,0.8997,0.0,0.3339700000000001,0.3339700000000001,0.0
116,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9098,0.9098,0.0,0.34343333333333337,0.34343333333333337,0.0
117,0.0,0.0,0.0,0.578345751633987,0.5800281045751635,-0.0016823529411764682,59.0,59.0,0.0,0.8672,0.8672,0.0,0.3043366666666666,0.3043366666666666,0.0
118,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.8985,0.8985,0.0,0.3327700000000001,0.3327700000000001,0.0
119,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
120,0.0,0.0,0.0,0.5763866013071897,0.5777673202614381,-0.0013807189542484055,60.0,60.0,0.0,0.9113,0.9113,0.0,0.3449333333333332,0.3449333333333332,0.0
121,0.0,0.0,0.0,0.5751977124183008,0.576402614379085,-0.001204901960784266,60.0,60.0,0.0,0.8966,0.8966,0.0,0.3308700000000002,0.3308700000000002,0.0
122,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
123,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
124,0.0,0.0,0.0,0.5755215686274511,0.5767264705882355,-0.001204901960784377,60.0,60.0,0.0,0.8634,0.8634,0.0,0.29767,0.29767,0.0
125,0.0,0.0,0.0,0.5704428104575164,0.5721251633986929,-0.0016823529411764682,59.0,59.0,0.0,0.8812,0.8812,0.0,0.3194133333333332,0.3194133333333332,0.0
126,0.0,0.0,0.0,0.5755215686274511,0.5767264705882355,-0.001204901960784377,60.0,60.0,0.0,0.8634,0.8634,0.0,0.29767,0.29767,0.0
127,0.0,0.0,0.0,0.5720787581699347,0.5737611111111112,-0.0016823529411764682,59.0,59.0,0.0,0.545,0.545,0.0,0.07130333333333333,0.07130333333333333,0.0
128,0.0,0.0,0.0,0.5766885620915033,0.5780692810457517,-0.0013807189542484055,60.0,60.0,0.0,0.9006,0.9006,0.0,0.3367133333333333,0.3367133333333333,0.0
129,0.0,0.0,0.0,0.5720787581699347,0.5737611111111112,-0.0016823529411764682,59.0,59.0,0.0,0.545,0.545,0.0,0.07130333333333333,0.07130333333333333,0.0
130,0.0,0.0,0.0,0.577921568627451,0.5793022875816993,-0.0013807189542482945,59.0,59.0,0.0,0.87,0.87,0.0,0.30427000000000015,0.30427000000000015,0.0
131,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
132,0.0,0.0,0.0,0.5755281045751635,0.5770643790849674,-0.001536274509803981,60.0,60.0,0.0,0.8904,0.8904,0.0,0.3262400000000001,0.3262400000000001,0.0
