seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
10,0.0,0.0,0.0,0.5697941176470588,0.6279836601307188,-0.05818954248366004,59.0,56.0,3.0,0.8708,0.8815,-0.010699999999999932,0.3050700000000002,0.3157700000000001,-0.010699999999999932
11,0.0,0.0,0.0,0.5699794117647059,0.6284993464052288,-0.05851993464052285,59.0,56.0,3.0,0.8657,0.8764,-0.010699999999999932,0.2918466666666667,0.30254666666666674,-0.010700000000000043
12,0.0,0.0,0.0,0.5699794117647059,0.6278555555555555,-0.0578761437908496,59.0,56.0,3.0,0.8657,0.8835,-0.017799999999999927,0.2918466666666667,0.30964666666666685,-0.01780000000000015
13,0.0,0.0,0.0,0.5657303921568626,0.6248967320261438,-0.059166339869281215,60.0,56.0,4.0,0.9066,0.9065,9.999999999998899e-05,0.33493000000000017,0.3348300000000002,9.999999999998899e-05
14,0.0,0.0,0.0,0.5657303921568626,0.6248967320261438,-0.059166339869281215,60.0,56.0,4.0,0.8988,0.8987,9.999999999998899e-05,0.3249466666666667,0.3248466666666666,0.00010000000000010001
15,0.0,0.0,0.0,0.5661339869281046,0.6251928104575164,-0.05905882352941183,60.0,56.0,4.0,0.9098,0.9097,0.00010000000000010001,0.34343333333333337,0.3433333333333334,9.999999999998899e-05
16,0.0,0.0,0.0,0.5699794117647059,0.627080065359477,-0.05710065359477112,59.0,55.0,4.0,0.8657,0.8788,-0.0131,0.2918466666666667,0.3049466666666666,-0.01309999999999989
17,0.0,0.0,0.0,0.5663686274509804,0.6252330065359478,-0.058864379084967444,60.0,56.0,4.0,0.8917,0.895,-0.0032999999999999696,0.3189233333333332,0.3222233333333333,-0.0033000000000000806
18,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
19,0.0,0.0,0.0,0.5673238562091503,0.6266833333333334,-0.0593594771241831,60.0,56.0,4.0,0.9046,0.9045,9.999999999998899e-05,0.3407133333333333,0.3406133333333333,9.999999999998899e-05
20,0.0,0.0,0.0,0.5661454248366014,0.625275816993464,-0.059130392156862666,60.0,56.0,4.0,0.8668,0.8667,9.999999999998899e-05,0.30107000000000017,0.30097000000000007,0.00010000000000010001
21,0.0,0.0,0.0,0.569390522875817,0.6276875816993464,-0.05829705882352931,59.0,56.0,3.0,0.8665,0.8773,-0.01079999999999992,0.2926466666666666,0.30344666666666675,-0.010800000000000143
22,0.0,0.0,0.0,0.5607872549019608,0.6295506535947711,-0.06876339869281034,59.0,56.0,3.0,0.8734,0.8734,0.0,0.3076700000000001,0.3076700000000001,0.0
23,0.0,0.0,0.0,0.5618614379084967,0.6295274509803921,-0.06766601307189535,60.0,57.0,3.0,0.5652,0.5652,0.0,0.09021666666666672,0.09021666666666672,0.0
24,0.0,0.0,0.0,0.5664666666666667,0.6253065359477125,-0.05883986928104579,60.0,56.0,4.0,0.8926,0.8964,-0.0038000000000000256,0.3268700000000001,0.33067,-0.0037999999999999146
25,0.0,0.0,0.0,0.5699794117647059,0.6274218954248365,-0.057442483660130605,59.0,55.0,4.0,0.8657,0.8742,-0.008499999999999952,0.2918466666666667,0.30034666666666654,-0.008499999999999841
26,0.0,0.0,0.0,0.5626594771241831,0.6279545751633987,-0.06529509803921563,59.0,56.0,3.0,0.5325,0.5359,-0.0034000000000000696,0.05926666666666669,0.06266666666666665,-0.0033999999999999586
27,0.0,0.0,0.0,0.565421568627451,0.6334228758169934,-0.06800130718954245,59.0,56.0,3.0,0.5641,0.5671,-0.0030000000000000027,0.09086666666666665,0.09386666666666654,-0.0029999999999998916
28,0.0,0.0,0.0,0.569390522875817,0.6292166666666666,-0.059826143790849606,59.0,55.0,4.0,0.8665,0.8664,0.00010000000000010001,0.2926466666666666,0.2925466666666666,9.999999999998899e-05
29,0.0,0.0,0.0,0.5606820261437908,0.629713725490196,-0.06903169934640518,59.0,56.0,3.0,0.8843,0.8936,-0.009299999999999975,0.32223333333333315,0.33153333333333324,-0.009300000000000086
30,0.0,0.0,0.0,0.5657303921568626,0.6248967320261438,-0.059166339869281215,60.0,56.0,4.0,0.9085,0.9084,9.999999999998899e-05,0.3374766666666664,0.33737666666666666,9.999999999976694e-05
31,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
32,0.0,0.0,0.0,0.5699794117647059,0.6284993464052288,-0.05851993464052285,59.0,56.0,3.0,0.8657,0.8764,-0.010699999999999932,0.2918466666666667,0.30254666666666674,-0.010700000000000043
33,0.0,0.0,0.0,0.571156862745098,0.6297640522875817,-0.05860718954248367,59.0,57.0,2.0,0.5547,0.5632,-0.008500000000000063,0.07690999999999998,0.08540999999999993,-0.008499999999999952
34,0.0,0.0,0.0,0.5690245098039216,0.6273673202614378,-0.058342810457516214,59.0,56.0,3.0,0.8808,0.8916,-0.01079999999999992,0.30500666666666665,0.31580666666666657,-0.01079999999999992
35,0.0,0.0,0.0,0.5642980392156862,0.6323235294117647,-0.06802549019607851,59.0,56.0,3.0,0.5626,0.5626,0.0,0.0893666666666666,0.0893666666666666,0.0
