seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
15,3.0,4.0,-1.0,0.6205094771241829,0.564136274509804,0.05637320261437895,57.0,61.0,-4.0,0.9097,0.9098,-0.00010000000000010001,0.3433333333333334,0.34343333333333337,-9.999999999998899e-05
16,3.0,4.0,-1.0,0.6248101307189542,0.5664728758169935,0.05833725490196073,57.0,59.0,-2.0,0.8903,0.8681,0.022199999999999998,0.32602333333333333,0.3038233333333332,0.02220000000000011
17,3.0,4.0,-1.0,0.6249732026143792,0.5572428104575164,0.06773039215686272,57.0,60.0,-3.0,0.8823,0.8793,0.0030000000000000027,0.31776000000000004,0.31475999999999993,0.0030000000000001137
18,3.0,4.0,-1.0,0.6233003267973857,0.5680297385620915,0.05527058823529418,57.0,60.0,-3.0,0.8815,0.8708,0.010699999999999932,0.3157700000000001,0.3050700000000002,0.010699999999999932
19,4.0,4.0,0.0,0.6253578431372548,0.5609624183006535,0.06439542483660132,58.0,61.0,-3.0,0.5528,0.5528,0.0,0.07910333333333336,0.07910333333333336,0.0
20,3.0,4.0,-1.0,0.6205924836601308,0.5641477124183006,0.056444771241830116,57.0,61.0,-4.0,0.8667,0.8668,-9.999999999998899e-05,0.30097000000000007,0.30107000000000017,-0.00010000000000010001
21,3.0,4.0,-1.0,0.620623202614379,0.5641326797385621,0.056490522875816906,57.0,61.0,-4.0,0.8964,0.8966,-0.00019999999999997797,0.33067,0.3308700000000002,-0.00020000000000020002
22,3.0,4.0,-1.0,0.6248101307189542,0.559475816993464,0.06533431372549015,57.0,60.0,-3.0,0.8734,0.8734,0.0,0.3076700000000001,0.3076700000000001,0.0
23,4.0,4.0,0.0,0.6248147058823528,0.5604192810457516,0.06439542483660121,58.0,61.0,-3.0,0.5652,0.5652,0.0,0.09021666666666672,0.09021666666666672,0.0
24,4.0,4.0,0.0,0.6250617647058822,0.5606663398692809,0.06439542483660121,58.0,61.0,-3.0,0.5598,0.5598,0.0,0.08610333333333337,0.08610333333333337,0.0
25,4.0,4.0,0.0,0.6248147058823528,0.5604192810457516,0.06439542483660121,58.0,61.0,-3.0,0.5652,0.5652,0.0,0.09021666666666672,0.09021666666666672,0.0
26,4.0,3.0,1.0,0.6232140522875816,0.5614555555555556,0.06175849673202605,57.0,60.0,-3.0,0.5359,0.5325,0.0034000000000000696,0.06266666666666665,0.05926666666666669,0.0033999999999999586
27,4.0,3.0,1.0,0.6254173202614378,0.5611483660130719,0.06426895424836587,58.0,60.0,-2.0,0.5518,0.5432,0.008599999999999941,0.07857999999999998,0.06997999999999993,0.008600000000000052
28,4.0,3.0,1.0,0.6225147058823528,0.5611483660130719,0.06136633986928086,57.0,60.0,-3.0,0.5452,0.5418,0.0034000000000000696,0.07196666666666673,0.06856666666666666,0.0034000000000000696
29,3.0,4.0,-1.0,0.6208457516339869,0.5644725490196077,0.05637320261437917,57.0,61.0,-4.0,0.8957,0.8958,-9.999999999998899e-05,0.3299700000000003,0.3300700000000001,-9.999999999976694e-05
30,4.0,4.0,0.0,0.6266588235294118,0.5699633986928104,0.056695424836601394,57.0,60.0,-3.0,0.5416,0.5353,0.006299999999999972,0.06369999999999998,0.05740000000000001,0.006299999999999972
