seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
16,0.0,0.0,0.0,0.5785683006535949,0.5802506535947712,-0.0016823529411763571,59.0,59.0,0.0,0.8681,0.8681,0.0,0.3038233333333332,0.3038233333333332,0.0
17,0.0,0.0,0.0,0.5683261437908499,0.5715761437908498,-0.003249999999999864,60.0,60.0,0.0,0.8793,0.8793,0.0,0.31475999999999993,0.31475999999999993,0.0
18,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
19,0.0,0.0,0.0,0.5719663398692811,0.573502614379085,-0.00153627450980387,60.0,60.0,0.0,0.5528,0.5528,0.0,0.07910333333333336,0.07910333333333336,0.0
20,0.0,0.0,0.0,0.5751944444444445,0.5763993464052288,-0.001204901960784377,60.0,60.0,0.0,0.8668,0.8668,0.0,0.30107000000000017,0.30107000000000017,0.0
21,0.0,0.0,0.0,0.5751977124183008,0.576402614379085,-0.001204901960784266,60.0,60.0,0.0,0.8966,0.8966,0.0,0.3308700000000002,0.3308700000000002,0.0
22,0.0,0.0,0.0,0.5704428104575164,0.5721251633986929,-0.0016823529411764682,59.0,59.0,0.0,0.8734,0.8734,0.0,0.3076700000000001,0.3076700000000001,0.0
23,0.0,0.0,0.0,0.5714232026143792,0.572959477124183,-0.00153627450980387,60.0,60.0,0.0,0.5652,0.5652,0.0,0.09021666666666672,0.09021666666666672,0.0
24,0.0,0.0,0.0,0.5716702614379086,0.5732065359477124,-0.00153627450980387,60.0,60.0,0.0,0.5598,0.5598,0.0,0.08610333333333337,0.08610333333333337,0.0
25,0.0,0.0,0.0,0.5714232026143792,0.572959477124183,-0.00153627450980387,60.0,60.0,0.0,0.5652,0.5652,0.0,0.09021666666666672,0.09021666666666672,0.0
26,0.0,0.0,0.0,0.5723924836601307,0.5740748366013072,-0.0016823529411764682,59.0,59.0,0.0,0.5325,0.5325,0.0,0.05926666666666669,0.05926666666666669,0.0
27,0.0,0.0,0.0,0.5720258169934642,0.573562091503268,-0.001536274509803759,60.0,60.0,0.0,0.5518,0.5518,0.0,0.07857999999999998,0.07857999999999998,0.0
28,0.0,0.0,0.0,0.5720787581699347,0.5737611111111112,-0.0016823529411764682,59.0,59.0,0.0,0.5418,0.5418,0.0,0.06856666666666666,0.06856666666666666,0.0
29,0.0,0.0,0.0,0.5754277777777778,0.5766326797385622,-0.001204901960784488,60.0,60.0,0.0,0.8958,0.8958,0.0,0.3300700000000001,0.3300700000000001,0.0
